Key,English,Japanese,SChinese,TChinese
trueloverloveButtonName,Love,一目惚れ,求爱,一見鍾情
TechnicianName,Technician,技術者,修理工,維修工
TechnicianTitle1,Use technology to repair sabotage!,技術を駆使してサボタージュを修理しよう,维修船上的破坏,維修船上的破壞
TechnicianDescription,Can only enter the vent during sabotage,サボタージュの間のみベントに入れます,修理工在紧急破坏出现时可以使用管道。,維修工在緊急破壞出現時可以使用通風管道。
SerialKillerName,Serial Killer,シリアルキラー,嗜血杀手,連環殺手
SerialKillerTitle1,Kill and Survive!,キルをして生存しよう,你渴望鲜血,你渴望鮮血
SerialKillerDescription,If you don't get a kill within a certain amount of time you will self-destruct,設定された時間内にキルを出来なかった場合、自爆します,嗜血杀手的击杀冷却短于普通内鬼。\n若嗜血杀手不在限定时间内进行一次击杀则嗜血杀手自杀。,連環殺手的擊殺冷卻短於普通內鬼。\n若連環殺手無法限定時間內進行一次擊殺則，連環殺手無法克制慾望而自殺。
SerialKillerSuicideTimeSetting,Time to suicide,自殺までの時間,嗜血杀手自杀倒计时,自殺倒計時
SerialKillerKillTimeSetting,Kill time,キルクールタイム,嗜血杀手击杀冷却,連環殺手擊殺冷卻時間
SerialKillerIsMeetingResetSetting,Resets when you enter a meeting.,会議に入るとリセットされる,会议过后是否重置嗜血杀手自杀倒计时,會議過後是否重置連環殺手自殺倒計時
SerialKillerSuicideText,{0} seconds to suicide,自殺まで後{0}秒,{0}秒后自杀,{0}秒後自殺
OverKillerName,OverKiller,オーバーキラー,肢解者,肢解者
OverKillerTitle1,Let's cover up the other kills.,他のキルを隠蔽しよう,肢解死者来掩盖犯罪,肢解死者來掩蓋犯罪
OverKillerDescription,A lot of corpses appear when you kill,キルした際に沢山の死体を作ります,你杀人时场上会多出数个尸体,殺人時場上會多出數個屍體
OverKillerKillCoolTimeSetting,OverKiller Kill Cool Time,オーバーキラーのキルクールタイム,肢解者击杀冷却,肢解者擊殺冷卻時間
OverKillerKillCountSetting,Number of bodies per,一回あたりの死体数,肢解者击杀时会出现的尸体数,肢解者擊殺時會出現的屍體數
LevelingerName,Levelinger,レベリンガー,悟道者,悟道者
LevelingerTitle1,Save CP and raise your level!,経験値を貯めてレベルをあげよう,每次击杀都会使你逐渐强大,每次擊殺都會使你逐漸強大
LevelingerOneKillXPSetting,XP gained from kills,キルで得られる経験値,悟道者每次击杀所获取的经验,悟道者每次擊殺所獲取的經驗值
LevelingerUpLevelXPSetting,Number of experience levels gained,レベルがあがる経験値数,悟道者升级所需经验,悟道者升级所需經驗
LevelingerGetPowerSetting,Abilities gained at level,レベルで得られる能力,级后悟道者获得的能力,升級後悟道者獲得的能力
LevelingerSettingKeep,Keep previous ability,前の能力をキープ,悟道者升级后原先通过升级获得的能力保留,悟道者升級後原先獲得的能力保留
LevelingerSettingTwoVote,Increased by 1 vote,1投票数増加,悟道者投出的票数增加一票,悟道者投票數加一
LevelingerReviveXPSetting,Can be revived by spending XP.,経験値を消費して復活できる,悟道者可以消耗经验在死后复活,悟道者可以消耗經驗在死後復活
LevelingerUseXPReviveSetting,Amount of XP to use,使用する経験値量,悟道者复活所需经验值,悟道者復活所需經驗值
EvilMovingName,EvilMoving,イビルムービング,邪恶的魔术师,邪惡的魔術師
EvilMovingTitle1,Lets Teleport Kill!,テレポートをしてキルしよう,利用魔术杀害船员,利用魔術殺害船員
AmnesiacName,Amnesiac,忘却者,失忆者,失憶者
AmnesiacTitle1,Let's call the cops and join them.,通報して仲間になろう,努力回想你的职业,努力回想你的職業
AmnesiacDescription,This is the Neutral role where reporting a corpse results in the role of the person of the corpse.\nWinning conditions depend on the role of the change destination.,死体をレポートするとその死体の人の役職になる第三陣営です。\n勝利条件は変化先の役職に依存します。,失忆者属于独立阵营，可以通过报告尸体来获得那名被报告的玩家的职业。\n失忆者的胜利条件与获得的职业相同。,失憶者屬於中立陣營，當舉報屍體時將成為死者的原職業。\n勝利條件取決於所成為職業而定。
SideKillerName,SideKiller,サイドキラー,头目,頭目
SideKillerTitle1,Make friends and win!,仲間を作って勝利しよう,招募喽啰来获得胜利,招募喽囉來獲得勝利
SideKillerSidekickButtonName,Erosion,浸食する,策反,策反
SideKillerKillCoolTimeSetting,SideKiller Kill Cool Time.,サイドキラーのキルクールタイム,头目击杀冷却,頭目擊殺冷卻時間
SideKillerMadKillerKillCoolTimeSetting,MadKiller Kill Cool Time.,マッドキラーのキルクールタイム,喽啰击杀冷却,喽囉擊殺冷卻時間
MadKillerName,MadKiller,マッドキラー,喽啰,喽囉
MadKillerTitle1,Let's promote and kill!,昇格してキルをしよう,帮助头目完成杀戮，等待晋升机会,幫助頭目完成殺戮，等待晉升機會
SurvivorName,Survivor,サバイバー,苟活者,倖存者
SurvivorTitle1,Survive and Kill!,生き残りながらキルをしよう,这是为了活下来的，我的挣扎！,這是為了活下來的，我的掙扎！
SurvivorDescription,If you do not survive you will not win even if the impostor wins.,生き残っていないとインポスターが勝利しても勝利できません。,苟活者属于内鬼阵营。\n苟活者击杀冷却有所减少。\n苟活者在游戏结束时不存活则不能获胜。,倖存者屬於內鬼陣營。\n倖存者擊殺冷卻有所減少。\n倖存者在遊戲結束時不存活則不能獲勝。
SurvivorKillCoolTimeSetting,Kill Cool Time,キルクールタイム,苟活者击杀冷却,倖存者擊殺冷卻時間
MadMayorName,MadMayor,マッドメイヤー,叛变的市长,叛變的市長
MadMayorTitle1,Let's abuse our power at the meeting.,会議で権力を乱用しよう,在会议上滥用票权,在會議上濫用票權
MadMayorVoteCountSetting,MadMayer's vote count,マッドメイヤーの票数,叛变的市长投票的等价票数,叛變的市長投票的等價票數
MadMayorDescription,The decision is in the Crewmate camp but he is a companion of the Impostor. If the Impostor wins the Madmayor can also win.,判定はクルーメイト陣営ですが、インポスターの仲間です。インポスターが勝利すると、マッドメイヤーも勝利できます。,叛变的市长属于船员阵营，但是其为内鬼的同伙。\n内鬼获胜则叛变的市长一同获胜。,叛變的市長屬於船員陣營，但是其為內鬼的同夥。\n內鬼獲勝則叛變的市長一同獲勝。
MadMayorIsCheckImpostorSetting,You can check the Impostor.,インポスターが確認できる,可以确认内鬼阵营玩家,可以確認內鬼陣營玩家
MadMayorUseVentSetting,Use Vent,ベントを使える,可以进入管道,可以進入通風管道
MadMayorVentMoveSetting,Move Vent,ベントで動ける,可以使用管道,可以在管道中移動
MadMayorImpostorLightSetting,Impostor Light,インポスターの視界,拥有内鬼视野,擁有內鬼視野
MadMayorCheckImpostorTaskSetting,Amount of tasks that will be able to be checked (of all tasks),確認できるようになるタスク量（全タスク内）,叛变的市长确认内鬼阵营玩家需要完成的任务量,叛變的市長確認內鬼陣營玩家所需完成的任務數
NiceHawkName,NiceHawk,ナイスホーク,鹰眼,正義的鷹眼
NiceHawkTitle1,See it all.,全てを見渡せ,将一切尽收眼底,將一切盡收眼底
NiceHawkTitle2,Let's catch the crime.,犯行を捉えよう,把犯人抓个现行,把犯人抓個現行
BakeryName,Baker,パン屋,面包师,面包師傅
BakeryTitle1,Would you like some breads?,焼きたてのパンはいかが？,想来一点新出炉的面包吗？,想來一點剛出爐的面包嗎？
BakeryExileText,Bakery baked some breads for crewmates.,パン屋によってパンが振舞われました。,面包师为船员烤了一些面包。,面包師傅留下了一些面包給船員。
BakeryExileText2,Bakery baked YOKINGDELICIOUSSSSSSSSS!!!!,パン屋ｧｧﾉｫｫﾖｯｷﾝｸﾞﾍﾞｯﾋﾟﾝｲｰｴｰｴｯｸｽｵｲｼｲ,面硬加咸蔬菜加倍蒜末和油多多！（快住手，这根本不是面包）,麵包夾蛋加蔥末再加新鮮的麵包師傅！
MadStuntManName,MadStuntman,マッドスタントマン,叛变的杂技演员,叛變的雜技演員
MadStuntManTitle1,Prevent kills and connect with impostors.,キルを防いでインポスターと繋がろう,躲避攻击并想办法与内鬼勾结,躲避攻擊並想辦法與內鬼溝通
MadStuntManDescription,Can prevent himself from being killed,自分自身へのキルを防ぐことが出来ます,叛变的杂技演员可以阻止对自己的击杀,叛變的雜技演員可以阻止對自己的擊殺
MadStuntManUseVentSetting,UseVent,ベントを使える,可以使用管道,可以使用通風管道
MadStuntManImpostorLightSetting,Impostor Light,インポスターの視界,拥有内鬼视野,擁有內鬼視野
MadHawkName,MadHawk,マッドホーク,叛变的鹰眼,叛變的鷹眼
MadHawkTitle1,See it all.,すべてを見渡そう,将一切尽收眼底,將一切盡收眼底
MadJesterName,MadJester,マッドてるてる,傀儡小丑,傀儡小丑
MadJesterTitle1,Get voted out and win with the Impostors!,投票で追放されてインポスターと勝利しよう,想办法被投出去，与内鬼一同获胜,想辦法被投出去，與內鬼一同獲勝
MadJesterTitle2,Seeker of Liberation,解放を望む者,挣脱自己可笑的命运,尋求自由解放之人
MadJesterTitle3,Oh，my master，please do something about this hopeless world...,嗚呼ご主人 どうしようもないこの世界をどうか...,我曾被困其间…现已无拘无束…,喔嗚...我的主人...請解放這個痛苦的世界吧...
MadJesterDescription,It is a crewmate decision. but it is in the Impostor camp. \nThe impostor wins by being expelled at the meeting.\nYou go for the gallows，climb up，tumbling down，tumbling down...\nFor I believe it will bring us glory...,クルーメイトの判定ですが、インポスター陣営です。\n会議で追放されることでインポスターの勝利になります。\n貴方は絞首台をめざす、のぼる、おちる。\nそれが我らの栄光につながると信じて。,规则上傀儡小丑被视为船员阵营，但其跟随内鬼阵营获胜。\n傀儡小丑被放逐则内鬼阵营获胜。\n你听到绞刑台正向你呼唤……你爬上去……垂下身躯……日渐西沉……\n而你在死前看到，这是无辜者们的落日。,規則上傀儡小丑屬於船員陣營，但其跟隨內鬼陣營獲勝。\n傀儡小丑遭放逐則內鬼陣營獲勝。\n當你聽到處刑台正向你呼喚...你爬上去...垂下身軀...日漸西沉\n而你在死前看到的，是無辜者們的落日。
FalseChargesName,FalseCharges,冤罪師,冤罪师,冤罪師
FalseChargesTitle1,Let the false accusations win!,冤罪をさせて勝利しよう,栽赃他人获取胜利,栽贓他人獲取勝利
FalseChargesDescription,I have the ability to falsely accuse others. \nBy using this ability，I sacrifice myself and if the player I falsely accused is voted out within the specified timeframe，I achieve a solo victory.,冤罪を吹っ掛けることが出来ます。\n冤罪を吹っ掛けると自身はキルされますが、設定ターン内にキルさせた相手が追放されれば単独勝利します。,,冤罪師可以栽贓他人。\n栽贓他人後自己會被殺，如果在設定的會議輪數內被栽贓的人被投出去，則可以獨自獲勝。
FalseChargesExileTurn,Turn of the false accusation range,冤罪の範囲のターン,冤罪师栽赃后可以获胜的会议轮数,冤罪師栽贓後可以獲勝的會議輪數
FalseChargesCoolTime,Cool Time,クールタイム,冤罪师栽赃冷却,冤罪師栽贓冷卻時間
FalseChargesButtonTitle,False Charge,冤罪,栽赃,栽贓
NiceTeleporterName,Nice Teleporter,ナイステレポーター,正义的传送师,正義的傳送師
NiceTeleporterTitle1,Teleport and uncover impostors!,テレポートしてインポスターを暴こう,通过远距离传送揭开内鬼的真面目,通過遠距離傳送來揪出內鬼
NiceTeleporterCooldownSetting,Teleport cooldown,テレポートのクールダウン,传送冷却,傳送冷卻時間
CelebrityName,Celebrity,スター,大明星,網紅
CelebrityTitle1,A Celebrity for everyone!,みんなのスター！！,你的名字无人不知无人不晓！,大家都知道你是誰！
CelebrityDescription,You can tell from all of them that you are the star.\nThere is also a setting that shines each time kill cool time elapses.\nHis presence illuminates the surroundings and gives hope.\nThe people around him cling to that hope. \nWithout thinking of the consequences of believing in him...,全員から自分がスターと分かります。\nスター存在時キルクールタイムが経過するたびに輝く設定もあります。\n彼の存在は周囲を照らし希望を与える。\n周囲は縋るその希望に。\n信じた結果齎す事など考えもせず・・・,所有人都可以确认大明星是谁。\n此外，根据房间设置，行动阶段，只要大明星存活，每当经过等同于内鬼通用击杀冷却的时间，所有人的屏幕将发出闪光。\n“——他宛若晨星照亮世间，带给我们生的希望\n他让身旁的人沐浴在希望的光芒下\n他身旁的人紧紧握住这份希望\n他们再无暇顾及对他的信任将要酿成的后果——”,網紅屬於中立陣營。\n網紅可以讓所有人確認自己是誰。\n此外，根據房間設置，行動階段，只要網紅存活，每當經過等同於內鬼通用擊殺冷卻的時間，所有人的屏幕將發出閃光。\n「——他宛若晨星照亮世間，帶給我們生的希望\n他讓身旁的人沐浴在希望的光芒下\n他身旁的人緊緊握住這份希望\n他們再無暇顧及對他的信任將要釀成的後果——」
CelebrityChangeRoleViewSetting,Name color will remain Celebrity even if the position changes.,役職が変わっても名前の色がスターのままになる,因他人技能导致职业变更不会影响大明星的效果,因他人技能導致職業變更不會影響網紅的效果
CelebrityIsTaskPhaseFlashSetting,During the task phase，does the screen light up every set number of seconds of kill time?,タスクフェイズ中、設定したキルクール秒数毎に画面を光らせるか。,行动阶段每过内鬼通用击杀冷却的时间时是否会出现屏幕闪光,行動階段每過內鬼通用擊殺冷卻的時間時是否會出現屏幕閃光
CelebrityIsFlashWhileAlivingOnly,Does the screen glow only while it is alive?(Meeting Update),画面が光るのは生きている間のみか(会議更新)。,屏幕闪光是否只在大明星存活期间发生（会议阶段开始时判定）,屏幕閃光是否只在網紅存活期間發生（會議階段開始時判定）
NocturnalityName,Nocturnality,夜行性,夜猫子,夜貓子
NocturnalityTitle1,You live in darkness.,あなたは暗闇の中で生きている,昼伏夜出,一日之計在於暮
NocturnalityDescription,The view during power outage and normal view are opposite.,停電中と通常の視界が反対になっています。,夜猫子属于船员阵营。\n夜猫子的正常视野与熄灯时视野相反。,夜貓子屬於船員陣營。\n夜貓子的正常視野與停電時視野相反。
ObserverName,Observer,選挙管理委員,窥视者,中選會委員
ObserverTitle1,Let's monitor everything.,すべてを監視しよう,监视一切吧,監視投票狀況
ObserverDescription,You can see where everyone is voting during the meeting.,会議中に全員の投票先を確認できます。,窥视者属于船员阵营。\n会议阶段，窥视者可以确认所有玩家的投票对象。,中選會委員屬於船員陣營。\n會議階段，中選會委員可以確認所有玩家的投票對象。
VampireName,Vampire,ヴァンパイア,吸血鬼,吸血鬼
VampireTitle1,Terrorise the Night King.,夜の王に恐怖せよ,好想吸血吸到吐,創造屬於我的夜之王朝吧！
VampireDescription,I can perform delayed kills.\nIn return，bloodstains will be left behind，and I have no intention of fixing power outages.\nI won't be detected by surveillance devices either.\nBut if I quietly bite someone in a crowd，no one will know who did it，right?,遅延キルをすることが出来ます。\n代わりに血痕は残りますし、停電は直す気はありません。\n情報機器には認識もされません。\nでも、人混みの中でこっそり噛みついたら、誰が殺ったかわからないよね。,吸血鬼可以进行延迟击杀。\n作为代价，吸血鬼击杀后会留下血迹，且不可以修复照明破坏。\n吸血鬼不会被飞船设备检测到。\n吸血鬼可以在人群中进行吸血，以避免被发现。,吸血鬼可以造成延遲擊殺。\n作為交換，吸血鬼的擊殺會留下血跡，並且吸血鬼無法修復停電。\n吸血鬼也不會被監視器看到。\n但如果吸血鬼在人群中悄悄咬人，沒人會知道是誰咬的，對吧：P
VampireKillDelay,Kill Delay,キル遅延,击杀延迟,擊殺延遲時間
VampireViewBloodStainsTurn,Turn to see blood,血が見えるターン,血渍可见需要经过的回合数,血跡可見需要經過的回合數
VampireCanCreateDependents,Dependents can be nominated,眷属を指名可能,吸血鬼可以指定一名眷属,吸血鬼可以指定一名眷屬
VampireCreateDependentsCoolTime,Cool time to nominate a Dependents member,眷属指名クールタイム,吸血鬼指定眷属冷却,吸血鬼指定眷屬冷卻時間
VampireDependentsKillCoolTime,Kill cool time for dependents,眷属のキルクールタイム,眷属击杀冷却,眷屬擊殺冷卻時間
VampireDependentsCanVent,Vent available for use by dependents,眷属がベント使用可能,眷属可以使用管道,眷屬可以使用通風管道
VampireDependentsButtonName,make Dependents,眷属にする,眷属,眷屬
DependentsName,Dependents,眷属,眷属,眷屬
DependentsTitle1,Trapped in the Night.,夜に囚われし者,你也是吸血鬼了,現在你是我們吸血鬼的一員了
DependentsDescription,This role is Madmate who can perform kills.\nI am synchronized with the kill cool time of the Vampire.\nBright places are not my forte，but I excel in darkness.\nOnce night falls，there is no escape.,キルが出来るマッドメイトです。\nヴァンパイアとはキルクールが同期しています。\n明るいところは苦手ですが暗いところは得意です。\n夜からは、逃れられないのです。,眷属属于叛徒阵营，可以进行击杀。\n眷属的击杀冷却与吸血鬼同步。\n眷属惧怕于光明，滋长于黑暗。\n夜幕降临，则无处可逃。,眷属可以進行擊殺的內鬼協助者。\n眷属的擊殺冷卻時間與吸血鬼同步。\n眷属懼怕光明，\n一旦夜幕降臨，他人就無法逃離。
DarkKillerName,DarkKiller,ダークキラー,暗夜杀手,暗影殺手
DarkKillerTitle1,Let's kill in the dark,闇に紛れて殺そう,将你的杀戮隐藏于黑暗之中,將你的殺戮隱匿於黑夜之中
DarkKillerKillCoolSetting,Dark Killer's Kill Cool Time,ダークキラーのキルクールタイム,暗夜杀手击杀冷却,暗影殺手擊殺冷卻時間
FoxName,Fox,妖狐,妖狐,狐妖
FoxTitle1,I am Fox!,私は狐です!,我是一只小狐狸！,我是一隻小狐狸！
FoxDescription,If you survive to the end，you win alone.\nYou will not be killed.\nThat's because I'm not me there.,最後まで生存していると単独勝利します。\nキルされることはありません。\nそりゃあそこにいる私は私ではないからね。,妖狐存活到游戏结束则妖狐单独获胜。\n妖狐不会被击杀。\n你什么时候产生了你看到的是本人的错觉？,如果狐妖存活到最後則獨自勝利。\n不存在什麼我被殺，因為在那的我並不是我。
SeerName,Seer,シーア,灵媒,先知
SeerDescription,,死亡時刻や死亡場所を把握する事が可能な、死者に関わる情報を司る役職です。\n取得した情報を用いてインポスターを特定しましょう。,灵媒属于船员阵营，可以获知死亡时间与死亡场所，来获取与死亡有关的情报。\n灵媒需要利用手中的情报来确认内鬼。,先知屬於船員陣營，可以獲知死亡時間與死亡場所，來獲取與死亡有關的情報。\n先知需要利用手中的情報來確認內鬼。
SeerTitle1,You will see players die,船員の気配を感じ取ろう,你能感知死亡,你能感知死亡
SeerMode,Mode,モード,灵媒模式,先知模式
SeerModeBoth,Show Death Flash + Souls,死の点滅＆幽霊が見える,显示死亡闪光和灵魂,顯示死亡閃光和靈魂
SeerModeFlash,Show Death Flash,死の点滅が見える,显示死亡闪光,顯示死亡閃光
SeerModeSouls,Show Souls,幽霊が見える,显示灵魂,顯示靈魂
SeerLimitSoulDuration,Limit Soul Duration,時間経過で幽霊が消える,灵魂随时间的推移消失,靈魂隨時間的推移消失
SeerSoulDuration,Soul Duration,幽霊が見える時間,灵魂从出现到消失经过的时间,靈魂從出現到消失經過的時間
MadSeerName,MadSeer,マッドシーア,叛变的灵媒,叛變的先知
MadSeerDescription,,死亡時刻や死亡場所を把握する事が可能な、死者に関わる情報を司る役職です。\n取得した情報を用いて村を陽動しましょう。,规则上叛变的灵媒被判定为船员阵营，但是其为内鬼的同伙。可以获知死亡时间与死亡场所，来获取与死亡有关的情报。\n叛变的灵媒需要利用手中的情报扰乱场上的局势。,叛變的先知屬於船員陣營，但是其為內鬼的同伴。可以獲知死亡時間與死亡場所，來獲取與死亡有關的情報。\n叛變的先知需要利用手中的情報擾亂場上的局勢。
MadSeerTitle1,Feel the success of your husband,ご主人の活躍を感じ取ろう,感知内鬼的行动,感知內鬼的行動
EvilSeerName,EvilSeer,イビルシーア,邪恶的灵媒,邪惡的先知
EvilSeerDescription,,死亡時刻や死亡場所を把握する事が可能な、死者に関わる情報を司る役職です。\n相方の行動を把握しサポートに回りましょう。,邪恶的灵媒属于内鬼阵营，可以获知死亡时间与死亡场所，来获取与死亡有关的情报。\n邪恶的灵媒需要利用手中的情报帮助同伙。,邪惡的先知屬於內鬼陣營，可以獲知死亡時間與死亡場所，來獲取與死亡有關的情報。\n邪惡的先知需要利用手中的情報幫助同伴。
EvilSeerTitle1,You will see players die,船員の気配を感じ取ろう,你能感知死亡,你能感知死亡
RemoteSheriffName,Remote Sheriff,リモートシェリフ,超能警长,超能警長
RemoteSheriffTitle1,Let's do a Remote Sheriff kill!,遠隔でシェリフキルをしよう,远距离进行执法,遠距離進行執法擊殺
RemoteSheriffIsKillTeleportSetting,Kill Teleport,キルテレポート,击杀时传送到被击杀者所在位置,擊殺時傳送到被擊殺者所在位置
TeleportingJackalName,TeleportingJackal,テレポートジャッカル,狼族传送师,狼族傳送師
TeleportingJackalTitle1,Teleport and kill all crewmates and impostors!,テレポートして全員ぶち殺そう,传送并杀死所有人,傳送並殺死所有人
MadMakerName,MadMaker,マッドメーカー,走狗,走狗
MadMakerTitle1,Let's get more lunatics!,狂人を増やそう！,让更多的人叛变,讓更多的人叛變
MadMakerSidekickButtonName,Solicitation,勧誘する,收买,綁樁
DemonName,Demon,悪魔,恶魔,惡魔
DemonTitle1,Curse the Crew and Help the Impostor!,クルーを呪いながらインポスターを手助けせよ,诅咒船员并协助内鬼,詛咒船員並協助內鬼
DemonDescription,A curse can be placed.\nIf Impostor wins with the ǉn curse applied to everyone，including Impostor，he will intercept the victory and win alone.,呪いをかけることが出来ます。\n呪いをインポスター含め全員にかけた状態でインポスターが勝利すると、その勝利を横取りして単独勝利します。,恶魔可以诅咒其他玩家。\n若恶魔在内鬼达到胜利条件时诅咒了包括内鬼在内的全部存活玩家，恶魔单独获胜。,惡魔可以施放詛咒。\n如果內鬼獲勝時，惡魔詛咒了所有人（包括內鬼），則會搶奪勝利並獨自獲勝。
DemonIsAliveWinSetting,You have to be alive to win.,生存していないと勝利できない,恶魔存活才能获胜,惡魔存活才能獲勝
DemonButtonName,Curse,呪う,诅咒,詛咒
TaskManagerName,TaskManager,タスクマネージャー,代理人,代理人
TaskManagerTitle1,Finish the task and mount up!,タスクを終わらせ、マウントを取ろう,帮助他人完成所有任务,幫助他人完成所有任務
SeerFriendsName,SeerFriends,シーアフレンズ,狈族灵媒,狽族先知
SeerFriendsTitle1,Let's feel the activity of Jackal,ジャッカルの活躍を感じ取ろう,感知豺狼的行动,感知豺狼的行動
SeerFriendsDescription,,死亡時刻や死亡場所を把握する事が可能な、死者に関わる情報を司る役職です。\n取得した情報を用いて村を陽動しましょう。,,狽族先知属于狼族阵营，可以获知死亡时间与死亡场所，来获取与死亡有关的情报。\n狽族先知需要利用手中的情报帮助豺狼。
JackalSeerName,SeerJackal,ジャッカルシーア,狼族灵媒,狼族先知
JackalSeerTitle1,Detect the dead and bring victory to your camp!,死者を感知し自陣営に勝利をもたらせ!,感知死亡，为豺狼带来胜利,感知死亡，為豺狼帶來勝利
JackalSeerDescription,,死亡時刻や死亡場所を把握する事が可能な、死者に関わる情報を司る役職です。\nインポスターの行動を把握し、利用しましょう。,狼族灵媒属于豺狼阵营，可以获知死亡时间与死亡场所，来获取与死亡有关的情报。\n狼族灵媒需要利用手中的情报确认内鬼行动并化为己用。,狼族先知属于豺狼阵营，可以获知死亡时间与死亡场所，来获取与死亡有关的情报。\n狼族先知需要利用手中的情报确认内鬼行动并化为己用。
SidekickSeerName,Sidekick(Seer),サイドキック(シーア),狼族灵媒学徒,狼族先知學徒
SidekickSeerTitle1,Let's help Jackal with the dead detection ability that we got,貰った死者感知能力でジャッカルを助けよう,用死亡感知能力来帮助豺狼,用死亡感知能力來幫助豺狼
SidekickSeerDescription,,死亡時刻や死亡場所を把握する事が可能な、死者に関わる情報を司る役職です。\n取得した情報を用いて、親ジャッカルを守り、時には切り、貢献しましょう。,狼族灵媒学徒属于豺狼阵营，可以获知死亡时间与死亡场所，来获取与死亡有关的情报。\n狼族灵媒学徒需要利用手中的情报保护豺狼团队，帮助豺狼获得胜利。,狼族先知学徒属于豺狼阵营，可以获知死亡时间与死亡场所，来获取与死亡有关的情报。\n狼族先知学徒需要利用手中的情报保护豺狼团队，帮助豺狼获得胜利。
AssassinAndMarlinName,<color=#ff0000>Assassin</color> and <color=#AFDFE4>Merine</color>,<color=#ff0000>アサシン</color>と<color=#AFDFE4>マーリン</color>,<color=#ff0000>阿</color>瓦<color=#AFDFE4>隆</color>,<color=#ff0000>阿</color>瓦<color=#AFDFE4>隆</color>
AssassinSettingPlayerCountName,Number of <color=#ff0000>Assassin</color>,<color=#ff0000>アサシン</color>の人数,<color=#ff0000>刺客</color>的人数,<color=#ff0000>刺客</color>的人數
MarlinSettingPlayerCountName,Number of <color=#AFDFE4>Merine</color>,<color=#AFDFE4>マーリン</color>の人数,<color=#AFDFE4>梅林</color>的人数,<color=#AFDFE4>梅林</color>的人數
AssassinName,Assassin,アサシン,刺客,刺客
AssassinTitle1,<color=#AFDFE4>Merine</color>Suppose you guessed it. let's turn the tables and win!,<color=#AFDFE4>マーリン</color>を当てて逆転勝利しよう,找出<color=#AFDFE4>梅林</color>来获得胜利,找出<color=#AFDFE4>梅林</color>來獲得勝利
AssassinSucsess,was Marlin.,はマーリンだった,是梅林,是梅林
AssassinFail,was not Marlin.,はマーリンではなかった,不是梅林,不是梅林
MarlinName,Merine,マーリン,梅林,梅林
MarlinTitle1,Let's not let <color=#ff0000>Assassin</color> find out.,<color=#ff0000>アサシン</color>にバレないようにしよう。,不要被<color=#ff0000>刺客</color>发现。,不要被<color=#ff0000>刺客</color>發現。
MarlinWhois,Who is Merine?,マーリンは誰だ？,谁是梅林？,誰是梅林？
ArsonistName,Arsonist,アーソニスト,纵火犯,縱火犯
ArsonistTitle1,Douse Douse burn,塗って塗って燃やせ,燃烧吧,燃燒吧
ArsonistDurationTimeSetting,Douse Duration,塗り時間,纵火犯涂油所需时间,縱火犯塗油所需時間
ArsonistDouseButtonName,Douse,塗る,涂油,塗油
ArsonistIgniteButtonName,Ignite,燃やす,点燃,點燃
ArsonistDescription,If you oil them all and burn them. you win alone.,油を全員に塗り燃やしたら単独勝利です。,纵火犯属于独立阵营。\n纵火犯给所有人涂油后按下点燃按钮则纵火犯独自获胜。,縱火犯屬於中立陣營。\n縱火犯給所有人塗油後按下點燃按鈕則縱火犯獨自獲勝。
ChiefName,Chief,村長,警察局长,警察局長
ChiefTitle1,Appoint a sheriff to help your crew.,シェリフを任命してクルーを助けよう,任命一位警长来帮助船员,任命一名警長來幫助船員
ChiefSidekickButtonName,Appointment,任命する,任命,任命
CleanerName,Cleaner,クリーナー,清理者,清理者
CleanerTitle1,Let's destroy the evidence!,証拠を隠滅しよう!,毁尸灭迹,毀屍滅跡
CleanerButtonName,CleanButton,死体を消す!,清理,清理
CleanerCooldownSetting,Cooldown,死体消しのクールダウン,清理冷却,清理冷卻
MadCleanerName,MadCleaner,マッドクリーナー,清洁工,清潔工
MadCleanerTitle1,Destroy the evidence and help impostors to win!,証拠を隠滅してインポスターを勝利に導こう!,毁尸灭迹帮助内鬼走向胜利,毀屍滅跡幫助內鬼走向勝利
CleanerKillCoolTimeSetting,Kill Cooldown,クリーナーのキルクールダウン,击杀冷却,擊殺冷卻
SamuraiName,Samurai,侍,武士,武士
SamuraiTitle1,Let's cut through the crew!,クルーを切り裂こう!,只此一刀！,一刀休矣！
SamuraiKillCoolSetting,KillCoolTime,侍のキルクールダウン,武士击杀冷却,武士擊殺冷卻
SamuraiSwordCoolSetting,AttackCoolTime,必殺技のクールダウン,武士拔刀斩冷却,武士拔刀斬冷卻
SamuraiScopeSetting,SamuraiScope,必殺技が及ぶ範囲,武士拔刀斩范围,武士拔刀斬範圍
SamuraiButtonName,UseSword!,必殺技!,拔刀斩！,拔刀斬！
MayorFriendsName,MayorFriends,メイヤーフレンズ,狈族市长,狽族市長
MayorFriendsTitle1,Let's abuse our power at the meeting.,会議で権力を乱用しよう,在会议上滥用票权,在會議上濫用票權
