moto,0,11,13
MarineSettingPlayerCountName,Number of <color=#AFDFE4>Merine</color>,<color=#AFDFE4>マーリン</color>の人数,MarineSettingPlayerCountName
AssassinName,Assassin,アサシン,AssassinName
AssassinTitle1,<color=#AFDFE4>Merine</color>Suppose you guessed it. let's turn the tables and win!,<color=#AFDFE4>マーリン</color>を当てて逆転勝利しよう,AssassinTitle1
AssassinSucsess,was marine.,はマーリンだった,AssassinSucsess
AssassinFail,was not marine.,はマーリンではなかった,AssassinFail
MarineName,Merine,マーリン,MarineName
MarineTitle1,Let's not let <color=#ff0000>Assassin</color> find out.,<color=#ff0000>アサシン</color>にバレないようにしよう。,MarineTitle1
MarineWhois,Who is Merine?,マーリンは誰だ？,MarineWhois
ArsonistName,Arsonist,アーソニスト,ArsonistName
ArsonistTitle1,Douse Douse burn,塗って塗って燃やせ,ArsonistTitle1
ArsonistDurationTimeSetting,Douse Duration,塗り時間,ArsonistDurationTimeSetting
ArsonistDouseButtonName,Douse,塗る,ArsonistDouseButtonName
ArsonistIgniteButtonName,Ignite,燃やす,ArsonistIgniteButtonName
ArsonistDescription,If you oil them all and burn them. you win alone.,油を全員に塗り燃やしたら単独勝利です。,ArsonistDescription
ChiefName,Chief,村長,ChiefName
ChiefTitle1,Appoint a sheriff to help your crew.,シェリフを任命してクルーを助けよう,ChiefTitle1
CleanerName,Cleaner,クリーナー,CleanerName
CleanerTitle1,Let's destroy the evidence!,証拠を隠滅しよう!,CleanerTitle1
CleanerButtonName,CleanButton,死体を消す!,CleanerButtonName
CleanerCoolDownSetting,CoolDown,死体消しのクールダウン,CleanerCoolDownSetting
MadCleanerName,MadCleaner,マッドクリーナー,MadCleanerName
MadCleanerTitle1,Destroy the evidence and help impostors to win!,証拠を隠滅してインポスターを勝利に導こう!,MadCleanerTitle1
CleanerKillCoolTimeSetting,Kill CoolDown,クリーナーのキルクールダウン,CleanerKillCoolTimeSetting
SamuraiName,Samurai,侍,SamuraiName
SamuraiTitle1,Let's cut through the crew!,クルーを切り裂こう!,SamuraiTitle1
SamuraiKillCoolSetting,KillCoolTime,侍のキルクールダウン,SamuraiKillCoolSetting
SamuraiSwordCoolSetting,AttackCoolTime,必殺技のクールダウン,SamuraiSwordCoolSetting
SamuraiScopeSetting,SamuraiScope,必殺技が及ぶ範囲,SamuraiScopeSetting
SamuraiButtonName,UseSword!,必殺技!,SamuraiButtonName
MayorFriendsName,MayorFriends,メイヤーフレンズ,MayorFriendsName
MayorFriendsTitle1,Let's abuse our power at the meeting.,会議で権力を乱用しよう,MayorFriendsTitle1
MayorFriendsDescription,It is judged as Crewmate. but is in the Jackal camp. Jackals can win if they win. MayorFriends is not recognized by Jackal. Help Jackal so that the Jackal camp wins!,クルーメイトと判定されますが、ジャッカル陣営です。\nジャッカルが勝利すると、勝利できます。メイヤーフレンズはジャッカルからは分かりません。\nジャッカル陣営が勝利するようにジャッカルを助けましょう！。,MayorFriendsDescription
VentMakerName,VentMaker,ベントメーカー,VentMakerName
VentMakerTitle1,Let's make a vent!,ベントを作ろう！,VentMakerTitle1
GhostMechanicName,GhostMechanic,亡霊整備士,GhostMechanicName
GhostMechanicTitle1,Let's get rid of the loose ends that we couldn't fix the machine.,機械を治せなかった未練を解消しよう,GhostMechanicTitle1
GhostMechanicRepairLimitSetting,Number of times sabotage can be repaired,サボタージュ修復可能回数,GhostMechanicRepairLimitSetting
GhostMechanicButtonName,Repair,修復,GhostMechanicButtonName
GhostMechanicCountText,GhostMechanic,残り{0}回,GhostMechanicCountText
EvilHackerName,EvilHacker,イビルハッカー,EvilHackerName
EvilHackerTitle1,Hack to Win!,ハッキングして勝利しよう,EvilHackerTitle1
EvilHackerMadmateSetting,Can an EvilHacker Make a Madmate,イビルハッカーがマッドメイトを作れるか,EvilHackerMadmateSetting
ADMINButton,ADMIN,アドミン,ADMINButton
timeRemaining,Remaining: {0},残り{0},timeRemaining
restrictOutOfTime,Time up,時間切れ,restrictOutOfTime
RestrictDevicesSetting,Device Restrictions,機器の制限,RestrictDevicesSetting
RestrictAdminSetting,Admin Restrictions,アドミンの制限,RestrictAdminSetting
RestrictCameraSetting,Camera Restrictions,カメラの制限,RestrictCameraSetting
RestrictVitalSetting,Vital Restrictions,バイタルの制限,RestrictVitalSetting
DeviceTimeSetting,Can use time,使用可能時間,DeviceTimeSetting
IsYkundesuBeplnExSetting,ykundesuBeplnEx,ykundesuBeplnEx,IsYkundesuBeplnExSetting
restrictOutOfTimeVerYkundesuBeplnEx,ykundesuBeplnEx IS! VERY! VERY DELICIOUSSSSS!!!!!，isn't it?,ﾖｯｷﾝｸﾞﾍﾞｯﾋﾟﾝｲｰｴｯｸｽおいしい,restrictOutOfTimeVerYkundesuBeplnEx
HauntedWolfName,HauntedWolf,狼憑き,HauntedWolfName
HauntedWolfTitle1,Don't let the crew find out.,クルーにバレるな,HauntedWolfTitle1
ReactorDurationSetting,Reactor Duration Time,リアクター継続時間の設定,ReactorDurationSetting
PolusReactorTime,Polus Reactor Duration Time,ポーラスでのリアクター時間,PolusReactorTime
MiraReactorTime,Mira Reactor Duration Time,ミラでのリアクター時間,MiraReactorTime
AirshipReactorTime,Airship  Reactor Duration Time,エアーシップでのリアクター時間,AirshipReactorTime
VentMakerButtonName,Make Vent,設置,VentMakerButtonName
AddVitalsMiraSetting,Adding vitals to Mira,Miraにバイタルを追加する,AddVitalsMiraSetting
VentAnimation,No Vent Animation,ベントアニメーション無効化,VentAnimation
MapRemodelingOptionSetting,Map Remodeling,マップ改造,MapRemodelingOptionSetting
AirShipAdditionalVents,AirShipAdditionalVents,エアーシップにベントを追加する,AirShipAdditionalVents
PolusAdditionalVents,PolusAdditionalVents,ポーラスにベントを追加する,PolusAdditionalVents
MiraAdditionalVents,MiraAdditionalVents,ミラにベントを追加する,MiraAdditionalVents
WelcomeMessage1,Welcome to SuperNewRoles!,SuperNewRolesへようこそ！,WelcomeMessage1
WelcomeMessage2,You can play a variety of modes and different hard on any model with SuperNewRoles!,SuperNewRolesを使用することで、様々なモードや様々な役職をどの機種でも遊べます！,WelcomeMessage2
WelcomeMessage3,Please visit the official wiki for a detailed description of the roles and modes!,役職やモードの詳しい説明については公式wikiを御覧ください！,WelcomeMessage3
WelcomeMessage4,SuperNewRoles Official Wiki,SuperNewRoles公式Wiki:,WelcomeMessage4
WelcomeMessage5,https://wikiwiki.jp/amas-snr(Japanese),https://wikiwiki.jp/amas-snr,WelcomeMessage5
WelcomeMessage6,You will get the information if you run the command.,コマンドを実行して、情報を取得できます。,WelcomeMessage6
WelcomeMessage7,Send this command if you want to see a list of commands.,コマンド一覧を表示するにはこのコマンドを送信してください。,WelcomeMessage7
WelcomeMessage8,[/commands] or [/cmd],/commands 又は /cmd,WelcomeMessage8
CommandsMessage0,Commands in the command list:\n() are also possible.\nIt is not case sensitive.,コマンド一覧:\n()の中にあるコマンドでも可能です。\n大文字と小文字は区別されません。,CommandsMessage0
CommandsMessage1,/commands (/cmd) : \nDisplays a list of commands. (This command.),/commands (/cmd) : \nコマンド一覧を表示します。(このコマンドです),CommandsMessage1
CommandsMessage2,/version (/v) : \nShow SuperNewRoles Version.,/version (/v) ： \nバージョンを表示します。,CommandsMessage2
CommandsMessage3,/discord (/dc) : \nShow the link to the Official Discord.,/discord (/dc) ： \n公式Discordへのリンクを表示します。,CommandsMessage3
CommandsMessage4,/twitter (/tw) : \nShow the link to the Official Twitter.,/twitter (/tw) ： \n公式Twitterと開発状況Twitterへのリンクを表示します。,CommandsMessage4
CommandsMessage5,/GetInRoles (/gr) ： Displays all activate roles.(Send to all player when you're hosts.),/GetInRoles (/gr) ： \n入っているすべての役職を表示します。(ホストの場合は全員に送信します),CommandsMessage5
CommandsMessage6,/GetInRoles myplayer ([/gr mp] or [/gr myp]) : \nDisplays all activate roles only you.(Send only to yourself even if you are the host.),/GetInRoles myplayer (/gr mp もしくは /gr myp) ： \n入っているすべての役職を表示します。(ホストでも自分のみに送信します),CommandsMessage6
CommandsMessage7,/AllRoles (/ar) : \nDisplays all activate roles' description and settings.(Send to all player when you're hosts.)\nTransmitted at 1.5 second intervals.,/AllRoles (/ar) ： \n入っている全役職の説明と設定が確認できます。\n(ホストが実行すると全員に送信します)\n1.5秒間隔で送信されます。,CommandsMessage7
CommandsMessage8,/AllRoles [transmission interval] (/ar [transmission interval]): \nAdditional transmission intervals can be specified for /AllRoles.,/AllRoles [送信間隔] (/ar [送信間隔]) ： \n/AllRolesに+で送信間隔を指定できます。,CommandsMessage8
CommandsMessage9,/AllRoles [send interval] myplayer (/ar [send interval] (mp or myp)): \nAdd to /AllRoles [send interval] and send only to yourself even if you are the host.,/AllRoles [送信間隔] myplayer (/ar [送信間隔] (mp もしくは myp)) ： \n/AllRoles [送信間隔]に+で、ホストでも自分のみに送信されます。,CommandsMessage9
SNROfficialDiscordMessage,Come here to visit the official SuperNewRoles Discord server.,SuperNewRoles公式Discordサーバーはこちらから:,SNROfficialDiscordMessage
SNROfficialTwitterMessage,Come here to visit the official SuperNewRoles Twitter Accounts.,SuperNewRoles公式Twitterはこちらから,SNROfficialTwitterMessage
TwitterOfficialLink,Official Account : https://twitter.com/SuperNewRoles,公式アカウント：https://twitter.com/SuperNewRoles,TwitterOfficialLink
TwitterDevLink,Development Information Account : https://twitter.com/SNRDevs,開発情報アカウント：https://twitter.com/SNRDevs,TwitterDevLink
Team,Team,陣営,Team
MessageSettings,Settings,設定,MessageSettings
NowRolesMessage,Activate Roles,現在入っている役職,NowRolesMessage
TeamMessage,【Team:{0}】,【{0}陣営】,TeamMessage
PlayerCountMessage,Players,人,PlayerCountMessage
DebugModeOnText,DebugMode:ON,デバッグモードが有効です,DebugModeOnText
BattleRoyalRemaining,Remaining until kills can be made,キルができるようになるまで残り,BattleRoyalRemaining
Player,Player,プレイヤー,Player
CopsImpostorCome,Remaining until the Imposter arrives,インポスターが来るまで残り,CopsImpostorCome
WareWolfHunter,Hunter,ハンター,WareWolfHunter
WereWolfHunterText,Let's die with someone else.,誰かを道連れにしよう,WereWolfHunterText
WereWolf.WereWolf,Werewolf,人狼,WereWolf.WereWolf
WereWolf.WereWolfText,Let's Eat Villager and Win!,市民を食べて勝利しよう,WereWolf.WereWolfText
WareWolfMadman,Madmate,狂人,WareWolfMadman
WereWolfMadmanText,Help the werewolves and win!,人狼を助けて勝利しよう,WereWolfMadmanText
WareWolfVillager,Villager,市民,WareWolfVillager
WereWolfVillagerText,Expel the werewolves in the debate and win!,議論で人狼を追放して勝利しよう,WereWolfVillagerText
WareWolfFortuneTeller,FortuneTeller,占い師,WareWolfFortuneTeller
WereWolfFortuneTellerText,Divination to discover the werewolf and win!,占って人狼を発見して勝利しよう,WereWolfFortuneTellerText
WareWolfMedium,Medium,霊媒師,WareWolfMedium
WereWolfMediumText,Search out the role of the dead and win!,死んだ人の役職を調べて勝利しよう,WereWolfMediumText
WereWolfMeetingNormal,This is Meeting Time.,今回は会議タイムです。,WereWolfMeetingNormal
WereWolfMeetingAbility,This is Use to Ability Time.,今回は能力使用タイムです。,WereWolfMeetingAbility
WereWolfMediumAbilityText,{0}'s Role is {1}!,{0}の役職は{1}です!,WereWolfMediumAbilityText
PositionSwapperName,Position Swapper,ポジションスワッパー,PositionSwapperName
PositionSwapperTitle1,Let's Swap crewmates.,位置交換で困惑させろ,PositionSwapperTitle1
SettingPositionSwapperSwapCountName,Swapping limits,スワップ制限回数,SettingPositionSwapperSwapCountName
SettingPositionSwapperSwapCoolTimeName,Swapping cooltime,スワップクールタイム,SettingPositionSwapperSwapCoolTimeName
PositionSwapperNumTextName,Limits:{0},残り{0}回,PositionSwapperNumTextName
PositionSwapperButtonName,PositionSwap,スワップ,PositionSwapperButtonName
PositionSwapperSwapText,Position swapper swapped you!,スワッパーによってスワップされました!,PositionSwapperSwapText
PositionSwapperSwapText2,Position swapper swapped you!\n by the way，ykundesu is delicious，isn't it?,スワッパーによってスワップされました!\nところでﾖｯｷﾝｸﾞﾍﾞｯﾋﾟﾝｲｰｴｯｸｽｵｲｼｲﾃﾞｽﾖﾈ,PositionSwapperSwapText2
TunaName,Tuna,マグロ,TunaName
TunaTitle1,Always move!,常に動け！,TunaTitle1
TunaStoppingTimeSetting,Stopping Time,止まれる時間,TunaStoppingTimeSetting
TunaAddWinSetting,Add Win,追加勝利,TunaAddWinSetting
BlackCatName,Black Cat,黒猫,BlackCatName
BlackCatTitle1,Give your life for your master.,主人のために命を捧げよ,BlackCatTitle1
MafiaName,Mafia,マフィア,MafiaName
MafiaTitle1,Let's avenge our fellow impostor,仲間の敵討ちをしよう,MafiaTitle1
MafiaDescription,When all the imposters except Mafia are dead the kill will be possible.\nThe kill cool time will continue to advance while no kills are made.,マフィア以外のインポスターが全員死亡するとキルできるようになります。\nキルが出来ない間もキルクールタイムは進みます。,MafiaDescription
RecordsAdminDestroySetting,Cannot Use Archive Admin,アーカイブのアドミンを使用不可にする,RecordsAdminDestroySetting
SpyName,Spy,スパイ,SpyName
SpyTitle1,Deceive the Imposter and lead the Cluemate camp to victory!,インポスターを欺き、クルーメイト陣営を勝利に導こう,SpyTitle1
SpyDescription,Spies are crewmates but they look like friends to the Imposter.\n Spies are crewmates and have no special abilities.,スパイはクルーメイトですが、インポスターからは仲間に見えます。\nスパイはクルーメイトであり、特別な能力はありません。,SpyDescription
SpecimenVitalSetting,Move Vital to specimen (polus),標本室にバイタルを移動する(ポーラス),SpecimenVitalSetting
CustomDownloadSuperNewNamePlates,Download custom hat,カスタムハットをダウンロードする,CustomDownloadSuperNewNamePlates
KunoichiName,Kunoichi,クノイチ,KunoichiName
KunoichiTitle1,Use your ninjutsu to deceive the village.,忍術を駆使して村を欺け,KunoichiTitle1
KunoichiCoolTime,Kunai Cool Time,クナイのクールタイム,KunoichiCoolTime
KunoichiKillKunai,Number of kunai required for a kill,キルに必要なクナイ数,KunoichiKillKunai
KunoichiIsHide,Transparency,透明化,KunoichiIsHide
KunoichiHideTime,Time required for transparency,透明化に必要な時間,KunoichiHideTime
KunoichiKunai,Kunai,クナイ,KunoichiKunai
KunoichiHideKunai,Can throw kunai during invisibility.,透明化中にクナイを投げれる,KunoichiHideKunai
SecretlyKillerName,Secretly Killer,シークレットリーキラー,SecretlyKillerName
SecretlyKillerTitle1,Please be quiet during the power outage.,停電中はお静かに,SecretlyKillerTitle1
SettingCoolCharge,Same in kill buttons,キル時のクール同期,SettingCoolCharge
SettingBlackoutCharge,Kill cool charge during power outage,停電中にクールをためる,SettingBlackoutCharge
SettingLimitName,Ability limit,制限回数,SettingLimitName
SecretlyKillButtonName,Secretly\nKill,シークレットリー\nキル,SecretlyKillButtonName
Zoomafterdeath,Zoom function after death,死後のズーム機能,Zoomafterdeath
mousemode,Mouse wheel Mode,マウスホイールモード,mousemode
clairvoyantmode,ClairvoyantMode,千里眼モード,clairvoyantmode
clairvoyantCoolTime,ClairvoyantCoolTime,千里眼のクールダウン,clairvoyantCoolTime
clairvoyantDurationTime,ClairvoyantDurationTime,千里眼の継続時間,clairvoyantDurationTime
ClairvoyantButtonName,Clairvoyant!,千里眼,ClairvoyantButtonName
LadderDead,Ladder Death,転落死,LadderDead
LadderDeadChance,Ladder Death Chance,転落死する確率,LadderDeadChance
NameIncludeMod,You cannot make a room public contains mod in your name.,modが名前に含まれている状態では公開部屋にすることはできません。,NameIncludeMod
MoveElecPadSetting,Move the switchboard.,配電盤を移動する,MoveElecPadSetting
AirshipDisableMovingPlatformSetting,Disable Moving Platform,昇降機のリフトを無効化する,AirshipDisableMovingPlatformSetting
AddWireTaskSetting,Add Wire Task,配線タスクを追加する,AddWireTaskSetting
DoubleKillerName,DoubleKiller,ダブルキラー,DoubleKillerName
MainCoolTimeSetting,MainKillCoolDown,メインキルボタンのクールダウン,MainCoolTimeSetting
SubCoolTimeSetting,SubKillCoolDown,サブのキルボタンのクールダウン,SubCoolTimeSetting
DoubleKillerSaboSetting,DoubleKillerCanUseSabotage,ダブルキラーがサボを使えるか,DoubleKillerSaboSetting
SmasherName,Smasher,スマッシャー,SmasherName
KillCoolTimeSetting,KillCoolDown,キルクールダウン,KillCoolTimeSetting
DoubleKillerTitle1,Let's master the independent kill button!,独立したキルボタンを使いこなそう,DoubleKillerTitle1
SmasherTitle1,Let's do continuous kills!,連続キルを行おう,SmasherTitle1
SuicideWisherName,Suicide Wisher,スーサイドウィッシャー‌,SuicideWisherName
SuicideWisherTitle1,Let's just kill ourselves for now.,とりあえず自殺しよう,SuicideWisherTitle1
SuicideName,Suicide,自殺,SuicideName
NeetName,Neet,ニート,NeetName
NeetTitle1,NeetLet others handle it.,他人に任せよう,NeetTitle1
FastMakerName,Fast Maker,ファストメーカー,FastMakerName
FastMakerTitle1,Let's make Mad Mate with a light heart.,軽い気持ちでマッドメイトを作ろう,FastMakerTitle1
KillName,KILL,キル,KillName
JackalCreateFriendSetting,Can Create JackalFriends,ジャッカルフレンズを作れる,JackalCreateFriendSetting
ToiletFanName,Toilet Fan,トイレファン,ToiletFanName
ToiletFanTitle1,A little faster...,少しでも早く...,ToiletFanTitle1
ToiletCoolDownSetting,Toilet Cool Time,トイレクールタイム,ToiletCoolDownSetting
ToiletName,DoorOpen,ドア開放,ToiletName
PolusrandomSpawn,RandomSpawn,ランダムスポーン,PolusrandomSpawn
NotImpostorExiled,Not taking the Imposter off the road,インポスターを道連れにしない,NotImpostorExiled
SatsumaAndImoName,Satsuma And Imo,さつまといも,SatsumaAndImoName
SatsumaAndImoTitle1,Let's spin your palm around.,手のひらをくるくるまわそう。,SatsumaAndImoTitle1
SatsumaAndImoDescription,Each meeting will be replaced by a crewmate and a madmate.\nInitially it is crewmate.,会議ごとにクルーメイトとマッドメイトで入れ替わります。\n初めはクルーメイトです。,SatsumaAndImoDescription
NeutralSubIntro,Think only of yourself. Use others.,自分の事だけ考えろ。他人の事は利用せよ。,NeutralSubIntro
,,,
