Key,English,Japanese,SChinese
SideKillerMadKillerKillCoolTimeSetting,MadKiller Kill Cool Time.,マッドキラーのキルクールタイム,小弟击杀冷却时间
MadKillerName,MadKiller,マッドキラー,小弟
MadKillerTitle1,Let's promote and kill!,昇格してキルをしよう,帮助首领完成杀戮，等待晋升机会
SurvivorName,Survivor,サバイバー,求生者
SurvivorTitle1,Survive and Kill!,生き残りながらキルをしよう,为了生存而挣扎！
SurvivorDescription,If you do not survive you will not win even if the impostor wins.,生き残っていないとインポスターが勝利しても勝利できません。,求生者属于伪装者阵营。\n求生者击杀冷却有所减少。\n求生者在游戏结束时不存活则不能获胜。
SurvivorKillCoolTimeSetting,Kill Cool Time,キルクールタイム,求生者击杀冷却
MadMayorName,MadMayor,マッドメイヤー,背叛的市长
MadMayorTitle1,Let's abuse our power at the meeting.,会議で権力を乱用しよう,在会议上滥用票权
MadMayorVoteCountSetting,MadMayer's vote count,マッドメイヤーの票数,投票的等价票数
MadMayorDescription,The decision is in the Crewmate camp but he is a companion of the Imposter. If the Imposter wins the Madmayor can also win.,判定はクルーメイト陣営ですが、インポスターの仲間です。インポスターが勝利すると、マッドメイヤーも勝利できます。,背叛的市长属于船员阵营，但是其为伪装者的同伙。\n伪装者获胜则背叛的市长一同获胜。
MadMayorIsCheckImpostorSetting,You can check the Impostor.,インポスターが確認できる,可以确认伪装者阵营玩家
MadMayorUseVentSetting,Use Vent,ベントを使える,可以进入通风口
MadMayorVentMoveSetting,Move Vent,ベントで動ける,可以使用通风口
MadMayorImpostorLightSetting,Impostor Light,インポスターの視界,拥有伪装者视野
MadMayorCheckImpostorTaskSetting,Amount of tasks that will be able to be checked (of all tasks),確認できるようになるタスク量（全タスク内）,确认伪装者阵营需要完成的任务量
NiceHawkName,NiceHawk,ナイスホーク,正义的鹰
NiceHawkTitle1,See it all.,全てを見渡せ,将一切尽收眼底
NiceHawkTitle2,Let's catch the crime.,犯行を捉えよう,把犯人抓个现行
BakeryName,Baker,パン屋,面包师
BakeryTitle1,Would you like some breads?,焼きたてのパンはいかが？,想来一点新出炉的面包吗？
BakeryExileText,Bakery baked some breads for crewmates.,パン屋によってパンが振舞われました。,面包师为船员烤了一些面包。
BakeryExileText2,Bakery baked YOKINGDELICIOUSSSSSSSSS!!!!,パン屋ｧｧﾉｫｫﾖｯｷﾝｸﾞﾍﾞｯﾋﾟﾝｲｰｴｰｴｯｸｽｵｲｼｲ,面包师烤出了美味的面包
MadStuntManName,MadStuntman,マッドスタントマン,背叛的杂技演员
MadStuntManTitle1,Prevent kills and connect with impostors.,キルを防いでインポスターと繋がろう,躲避攻击并想办法与伪装者勾结
MadStuntManDescription,Can prevent himself from being killed,自分自身へのキルを防ぐことが出来ます,可以阻止对自身进行的杀戮
MadStuntManUseVentSetting,UseVent,ベントを使える,可以使用通风口
MadStuntManImpostorLightSetting,Impostor Light,インポスターの視界,伪装者视野
MadHawkName,MadHawk,マッドホーク,背叛的鹰
MadHawkTitle1,See it all.,すべてを見渡そう,将一切尽收眼底
MadJesterName,MadJester,マッドてるてる,叛徒小丑
MadJesterTitle1,Get voted out and win with the Imposters!,投票で追放されてインポスターと勝利しよう,投票被放逐，与伪装者一同获胜
MadJesterDescription,It is a crewmate decision. but it is in the Imposter camp. \nThe imposter wins by being expelled at the meeting.,クルーメイトの判定ですが、インポスター陣営です。\n会議で追放されることでインポスターの勝利になります。,叛徒小丑规则上属于船员阵营，但是其为伪装者的同伙。\n叛徒小丑在会议中被放逐则伪装者阵营获胜。
FalseChargesName,FalseCharges,冤罪師,冤罪师
FalseChargesTitle1,Let the false accusations win!,冤罪をさせて勝利しよう,栽赃他人获取胜利
FalseChargesDescription,You can make the opponent who presses the button kill you. \nYou will win if the opponent you have killed is expelled by the conference.,ボタンを押した相手に自分をキルさせることができます。\nキルさせた相手が会議で追放されたら勝利できます、,冤罪师属于独立阵营。\n冤罪师的技能为可以让附近的其他玩家击杀自己。\n这个技能发动后的指定轮数之内，若击杀冤罪师的凶手被放逐，则冤罪师独自获胜。
FalseChargesExileTurn,Turn of the false accusation range,冤罪の範囲のターン,冤罪师栽赃后凶手被投出冤罪师可以获胜的会议轮数
FalseChargesCoolTime,Cool Time,クールタイム,技能冷却时间
FalseChargesButtonTitle,False Charge,冤罪,栽赃
NiceTeleporterName,Nice Teleporter,ナイステレポーター,正义的传送师
NiceTeleporterTitle1,Teleport and uncover impostors!,テレポートしてインポスターを暴こう,通过远距离传送揭开伪装者的真面目
NiceTeleporterCoolDownSetting,Teleport cooldown,テレポートのクールダウン,传送冷却时间
CelebrityName,Celebrity,スター,明星
CelebrityTitle1,A Celebrity for everyone!,みんなのスター！！,你的名字无人不知无人不晓！
CelebrityDescription,You can tell from all of them that you are the star.,全員から自分がスターと分かります。,明星属于船员阵营。\n所有其他玩家都能确认你是明星。
CelebrityChangeRoleViewSetting,Name color will remain Celebrity even if the position changes.,役職が変わっても名前の色がスターのままになる,因他人技能导致职业变更不影响明星效果
NocturnalityName,Nocturnality,夜行性,夜行者
NocturnalityTitle1,You live in darkness.,あなたは暗闇の中で生きている,昼伏夜出
NocturnalityDescription,The view during power outage and normal view are opposite.,停電中と通常の視界が反対になっています。,夜行者属于船员阵营。\n夜行者的正常视野与熄灯时视野相反。
ObserverName,Observer,選挙管理委員,观察者
ObserverTitle1,Let's monitor everything.,すべてを監視しよう,监视一切吧
ObserverDescription,You can see where everyone is voting during the meeting.,会議中に全員の投票先を確認できます。,观察者属于船员阵营。\n会议阶段，观察者可以确认所有玩家在召开会议前的所在位置。
VampireName,Vampire,ヴァンパイア,吸血鬼
VampireTitle1,Let's do a delayed kill.,遅延キルしよう,你的击杀会被延迟
VampireKillDelay,Kill Delay,キル遅延,击杀延迟时间
DarkKillerName,DarkKiller,ダークキラー,暗夜杀手
DarkKillerTitle1,Let's kill in the dark,闇に紛れて殺そう,将你的杀戮隐藏于黑暗之中
DarkKillerKillCoolSetting,Dark Killer's Kill Cool Time,ダークキラーのキルクールタイム,击杀冷却时间
FoxName,Fox,妖狐,狐妖
FoxTitle1,I am Fox!,私は狐です!,我是一只小狐狸！
SeerName,Seer,シーア,灵媒
SeerTitle1,You will see players die,船員の気配を感じ取ろう,你能感知死亡
SeerMode,Mode,モード,模式
SeerModeBoth,Show Death Flash + Souls,死の点滅＆幽霊が見える,显示死亡闪光和灵魂
SeerModeFlash,Show Death Flash,死の点滅が見える,显示死亡闪光
SeerModeSouls,Show Souls,幽霊が見える,显示灵魂
SeerLimitSoulDuration,Limit Soul Duration,時間経過で幽霊が消える,灵魂随时间的推移消失
SeerSoulDuration,Soul Duration,幽霊が見える時間,灵魂从出现到消失经过的时间
MadSeerName,MadSeer,マッドシーア,背叛的灵媒
MadSeerTitle1,Feel the success of your husband,ご主人の活躍を感じ取ろう,感知伪装者的行动
EvilSeerName,EvilSeer,イビルシーア,邪恶的灵媒
EvilSeerTitle1,You will see players die,船員の気配を感じ取ろう,你能感知死亡
RemoteSheriffName,Remote Sheriff,リモートシェリフ,超能警长
RemoteSheriffTitle1,Let's do a Remote Sheriff kill!,遠隔でシェリフキルをしよう,远距离进行执法
RemoteSheriffIsKillTeleportSetting,Kill Teleport,キルテレポート,执法时传送到被击杀者的位置
TeleportingJackalName,TeleportingJackal,テレポートジャッカル,豺狼传送师
TeleportingJackalTitle1,Teleport and kill all crewmates and impostors!,テレポートして全員ぶち殺そう,传送并杀死所有人
MadMakerName,MadMaker,マッドメーカー,叛徒制造者
MadMakerTitle1,Let's get more lunatics!,狂人を増やそう！,让更多的人背叛
DemonName,Demon,悪魔,恶魔
DemonTitle1,Curse the Crew and Help the Impostor!,クルーを呪いながらインポスターを手助けせよ,诅咒船员并协助伪装者
DemonIsAliveWinSetting,You have to be alive to win.,生存していないと勝利できない,恶魔存活才能获胜
DemonButtonName,Curse,呪う,诅咒
TaskManagerName,TaskManager,タスクマネージャー,代理人
TaskManagerTitle1,Finish the task and mount up!,タスクを終わらせ、マウントを取ろう,帮助他人完成所有任务
SeerFriendsName,SeerFriends,シーアフレンズ,狈族灵媒
SeerFriendsTitle1,Let's feel the activity of Jackal,ジャッカルの活躍を感じ取ろう,感知豺狼的行动
JackalSeerName,SeerJackal,ジャッカルシーア,豺狼灵媒
JackalSeerTitle1,Detect the dead and bring victory to your camp!,死者を感知し自陣営に勝利をもたらせ!,感知死亡，为豺狼带来胜利
SidekickSeerName,Sidekick(Seer),サイドキック(シーア),狼族灵媒学徒
SidekickSeerTitle1,Let's help Jackal with the dead detection ability that we got,貰った死者感知能力でジャッカルを助けよう,用死亡感知能力来帮助豺狼
AssassinAndMarineName,<color=#ff0000>Assassin</color> and <color=#AFDFE4>Merine</color>,<color=#ff0000>アサシン</color>と<color=#AFDFE4>マーリン</color>,<color=#ff0000>刺客</color>与<color=#AFDFE4>林梅</color>
AssassinSettingPlayerCountName,Number of <color=#ff0000>Assassin</color>,<color=#ff0000>アサシン</color>の人数,<color=#ff0000>刺客</color>的人数
MarineSettingPlayerCountName,Number of <color=#AFDFE4>Merine</color>,<color=#AFDFE4>マーリン</color>の人数,<color=#AFDFE4>梅林</color>的人数
AssassinName,Assassin,アサシン,刺客
AssassinTitle1,<color=#AFDFE4>Merine</color>Suppose you guessed it. let's turn the tables and win!,<color=#AFDFE4>マーリン</color>を当てて逆転勝利しよう,找出<color=#AFDFE4>梅林</color>来获得胜利
AssassinSucsess,was marine.,はマーリンだった,是梅林
AssassinFail,was not marine.,はマーリンではなかった,不是梅林
MarineName,Merine,マーリン,梅林
MarineTitle1,Let's not let <color=#ff0000>Assassin</color> find out.,<color=#ff0000>アサシン</color>にバレないようにしよう。,不要被<color=#ff0000>刺客</color>发现。
MarineWhois,Who is Merine?,マーリンは誰だ？,谁是梅林？
ArsonistName,Arsonist,アーソニスト,纵火犯
ArsonistTitle1,Douse Douse burn,塗って塗って燃やせ,燃烧吧
ArsonistDurationTimeSetting,Douse Duration,塗り時間,涂油所需时间
ArsonistDouseButtonName,Douse,塗る,涂油
ArsonistIgniteButtonName,Ignite,燃やす,纵火
ArsonistDescription,If you oil them all and burn them. you win alone.,油を全員に塗り燃やしたら単独勝利です。,纵火犯属于独立阵营。\n纵火犯给所有人涂油后按下点燃按钮则纵火犯独自获胜。
ChiefName,Chief,村長,局长
ChiefTitle1,Appoint a sheriff to help your crew.,シェリフを任命してクルーを助けよう,任命一位警长来帮助船员
CleanerName,Cleaner,クリーナー,清理者
CleanerTitle1,Let's destroy the evidence!,証拠を隠滅しよう!,毁尸灭迹
CleanerButtonName,CleanButton,死体を消す!,清理
CleanerCoolDownSetting,Cooldown,死体消しのクールダウン,清理者清理冷却
MadCleanerName,MadCleaner,マッドクリーナー,清洁工
MadCleanerTitle1,Destroy the evidence and help impostors to win!,証拠を隠滅してインポスターを勝利に導こう!,毁尸灭迹帮助伪装者走向胜利
CleanerKillCoolTimeSetting,Kill Cooldown,クリーナーのキルクールダウン,清洁工击杀冷却
SamuraiName,Samurai,侍,武士
SamuraiTitle1,Let's cut through the crew!,クルーを切り裂こう!,让我试试刀吧！
SamuraiKillCoolSetting,KillCoolTime,侍のキルクールダウン,击杀冷却时间
SamuraiSwordCoolSetting,AttackCoolTime,必殺技のクールダウン,必杀技冷却时间
SamuraiScopeSetting,SamuraiScope,必殺技が及ぶ範囲,武士必杀技范围
SamuraiButtonName,UseSword!,必殺技!,必杀技！
MayorFriendsName,MayorFriends,メイヤーフレンズ,狈族市长
MayorFriendsTitle1,Let's abuse our power at the meeting.,会議で権力を乱用しよう,在会议上滥用票权
MayorFriendsDescription,It is judged as Crewmate.\nBut is in the Jackal camp. Jackals can win if they win. MayorFriends is not recognized by Jackal.\nHelp Jackal so that the Jackal camp wins!,クルーメイトと判定されますが、ジャッカル陣営です。\nジャッカルが勝利すると、勝利できます。メイヤーフレンズはジャッカルからは分かりません。\nジャッカル陣営が勝利するようにジャッカルを助けましょう！。,狈族市长属于船员阵营，但是其为豺狼的同伙。\n豺狼团队获胜则狈族市长一同获胜。
VentMakerName,VentMaker,ベントメーカー,通风口工
VentMakerTitle1,Let's make a vent!,ベントを作ろう！,挖掘通风口
GhostMechanicName,GhostMechanic,亡霊整備士,亡灵工程师
GhostMechanicTitle1,Let's get rid of the loose ends that we couldn't fix the machine.,機械を治せなかった未練を解消しよう,弥补生前未能修好飞船的遗憾
GhostMechanicRepairLimitSetting,Number of times sabotage can be repaired,サボタージュ修復可能回数,亡灵工程师可修复破坏次数
GhostMechanicButtonName,Repair,修復,修复
GhostMechanicCountText,GhostMechanic,残り{0}回,剩余{0}次
EvilHackerName,EvilHacker,イビルハッカー,骇客
EvilHackerTitle1,Hack to Win!,ハッキングして勝利しよう,黑入飞船获取胜利
EvilHackerMadmateSetting,Can an EvilHacker Make a Madmate,イビルハッカーがマッドメイトを作れるか,邪恶的黑客可以招募一个叛徒
PositionSwapperName,Position Swapper,ポジションスワッパー,换位师
PositionSwapperTitle1,Let's Swap crewmates.,位置交換で困惑させろ,移形换位迷惑他人
SettingPositionSwapperSwapCountName,Swapping limits,スワップ制限回数,最大换位次数
SettingPositionSwapperSwapCoolTimeName,Swapping cooltime,スワップクールタイム,换位冷却时间
PositionSwapperNumTextName,Limits:{0},残り{0}回,剩余{0}次
PositionSwapperButtonName,PositionSwap,スワップ,换位
PositionSwapperSwapText,Position swapper swapped you!,スワッパーによってスワップされました!,念动使交换了你的位置！
PositionSwapperSwapText2,Position swapper swapped you!\nby the way，ykundesu is delicious，isn't it?,スワッパーによってスワップされました!\nところでﾖｯｷﾝｸﾞﾍﾞｯﾋﾟﾝｲｰｴｯｸｽｵｲｼｲﾃﾞｽﾖﾈ,念动使交换了你的位置！\n 顺便一提ykundesu很好吃，不是吗?
TunaName,Tuna,マグロ,金枪鱼
TunaTitle1,Always move!,常に動け！,不要停下来……
TunaStoppingTimeSetting,Stopping Time,止まれる時間,允许停下最大时间
TunaAddWinSetting,Add Win,追加勝利,可以跟随胜利
BlackCatName,Black Cat,黒猫,黑猫
BlackCatTitle1,Give your life for your master.,主人のために命を捧げよ,为伪装者献出生命
MafiaName,Mafia,マフィア,黑手党
MafiaTitle1,Let's avenge our fellow impostor,仲間の敵討ちをしよう,为同伴报仇
MafiaDescription,When all the impostors except Mafia are dead the kill will be possible.\nThe kill cool time will continue to advance while no kills are made.,マフィア以外のインポスターが全員死亡するとキルできるようになります。\nキルが出来ない間もキルクールタイムは進みます。,黑手党属于伪装者阵营。\n除黑手党以外的伪装者阵营玩家全部死亡后，黑手党才能进行击杀。\n无法击杀时，击杀冷却也会照常减少
RecordsAdminDestroySetting,Cannot Use Archive Admin,アーカイブのアドミンを使用不可にする,无法使用管理室地图
SpyName,Spy,スパイ,卧底
SpyTitle1,Deceive the Impostor and lead the Cluemate camp to victory!,インポスターを欺き、クルーメイト陣営を勝利に導こう,欺骗并找出伪装者，帮助船员取得胜利
SpyDescription,Spies are crewmates but they look like friends to the Impostor.\n Spies are crewmates and have no special abilities.,スパイはクルーメイトですが、インポスターからは仲間に見えます。\nスパイはクルーメイトであり、特別な能力はありません。,卧底属于船员阵营。\n在伪装者看来卧底属于伪装者阵营。\n卧底没有其他特殊能力。
SpecimenVitalSetting,Move Vital to specimen (polus),標本室にバイタルを移動する(ポーラス),将生命监测仪移动至样本室（波鲁斯）
CustomDownloadSuperNewNamePlates,Download custom hat,カスタムハットをダウンロードする,下载自定义帽子
KunoichiName,Kunoichi,クノイチ,忍者
KunoichiTitle1,Use your ninjutsu to deceive the village.,忍術を駆使して村を欺け,用你的忍术来欺骗船员
KunoichiCoolTime,Kunai Cool Time,クナイのクールタイム,手里剑冷却时间
KunoichiKillKunai,Number of kunai required for a kill,キルに必要なクナイ数,击杀所需要的手里剑数
KunoichiIsHide,Transparency,透明化,隐身
KunoichiIsWaitAndPressTheButtonToHide,null,null,不动时显示隐身按键
KunoichiHideTime,Time required for transparency,透明化に必要な時間,隐身所需时间
KunoichiKunai,Kunai,クナイ,手里剑
KunoichiHideKunai,Can throw kunai during invisibility.,透明化中にクナイを投げれる,隐身时可以投掷手里剑
SecretlyKillerName,Secretly Killer,シークレットリーキラー,谋杀者
SecretlyKillerTitle1,Please be quiet during the power outage.,停電中はお静かに,只有死人才能守住秘密
SettingCoolCharge,Same in kill buttons,キル時のクール同期,技能与击杀同步冷却
SettingBlackoutCharge,Kill cool charge during power outage,停電中にクールをためる,熄灯时可以加快冷却
SettingLimitName,Ability limit,制限回数,最大次数
SecretlyKillButtonName,Secretly\nKill,シークレットリー\nキル,暗杀
DoubleKillerName,DoubleKiller,ダブルキラー,双刀手
MainCoolTimeSetting,MainKillCooldown,メインキルボタンのクールダウン,主击杀冷却时间
SubCoolTimeSetting,SubKillCooldown,サブのキルボタンのクールダウン,副击杀冷却时间
DoubleKillerSaboSetting,DoubleKillerCanUseSabotage,ダブルキラーがサボを使えるか,可以破坏
SmasherName,Smasher,スマッシャー,粉碎者
KillCoolTimeSetting,KillCooldown,キルクールダウン,击杀冷却时间
DoubleKillerTitle1,Let's master the independent kill button!,独立したキルボタンを使いこなそう,拥有独立的击杀按钮！
SmasherTitle1,Let's do continuous kills!,連続キルを行おう,杀个痛快！
SuicideWisherName,Suicide Wisher,スーサイドウィッシャー‌,绝望者
SuicideWisherTitle1,Let's just kill ourselves for now.,とりあえず自殺しよう,生而为伪装者，我很抱歉
SuicideName,Suicide,自殺,自杀
NeetName,Neet,ニート,尼特族
NeetTitle1,NeetLet others handle it.,他人に任せよう,明天再说吧！
FastMakerName,Fast Maker,ファストメーカー,邪教师
FastMakerTitle1,Let's make Madmate with a light heart.,軽い気持ちでマッドメイトを作ろう,洗脑船员，成为你的俘虏
KillName,KILL,キル,击杀
JackalCreateFriendSetting,Can Create JackalFriends,ジャッカルフレンズを作れる,可以将玩家招募为狈
ToiletFanName,Toilet Fan,トイレファン,厕友
ToiletFanTitle1,A little faster...,少しでも早く...,在快一点...
ToiletCoolDownSetting,Toilet Cool Time,トイレクールタイム,开门冷却时间
ToiletName,DoorOpen,ドア開放,门开了
PolusrandomSpawn,RandomSpawn,ランダムスポーン,随机出生点
NotImpostorExiled,Not taking the Impostor off the road,インポスターを道連れにしない,不会连带伪装者阵营
NiceButtonerName,NiceButtoner,ナイスボタナー,正义的执钮人
NiceButtonerTitle1,Let&apos;s a start meeting.,会議を開始しよう,远程召开会议
EvilButtonerName,EvilButtoner,イビルボタナー,邪恶的执钮人
EvilButtonerTitle1,Let&apos;s a start meeting.,会議を開始しよう,远程召开会议
ButtonerCoolDownSetting,Cooldown,クールタイム,技能冷却时间
ButtonerCountSetting,Number of uses,使用回数,最大使用次数
ButtonerButtonName,Meeting!,緊急会議！,召开
RevolutionistName,Revolutionist,革命家,革命家
RevolutionistTitle1,Let's start a revolution.,革命を起こそう,发起革命
DictatorName,Dictator,独裁者,独裁者
DictatorTitle1,Let's monopolize power,権力を独占しよう,掌握独裁的权力
RevolutionistAndDictatorName,<color=#FF0033>Revolutionist</color>And<color=#336600>Dictator</color>,<color=#FF0033>革命家</color>と<color=#336600>独裁者</color>,<color=#FF0033>革命家</color>与<color=#336600>独裁者</color>
SettingRevolutionistPlayerCountName,Number of <color=#FF0033>Revolutionist</color>,<color=#FF0033>革命家</color>の人数,<color=#FF0033>革命家</color>人数
SettingDictatorPlayerCountName,Number of <color=#336600>Dictator</color>,<color=#336600>独裁者</color>の人数,<color=#336600>独裁者</color>人数
DictatorSubExile,When exiled， exile another player.,追放時、別のプレイヤーを追放する,独裁者被放逐时将随机选一名玩家代为放逐
DictatorSubExileLimit,Maximum number of substitutions,身代わりの最大回数,独裁者逃避放逐最大次数
DictatorVoteCount,Dictatorial vote count,独裁者の票数,独裁者拥有票数
RevolutionCoolTime,revolutionary cool time,革命クールタイム,发起革命冷却时间
RevolutionTouchTime,Revolutionary contact hours,革命家の接触時間,革命家发动革命所需时间
RevolutionistAddWin,Additional Victories for Revolutionist,革命家の追加勝利,革命家可以跟随胜利
RevolutionistAddWinIsAlive,Additional victory only when alive,生存時のみ追加勝利,革命家仅存活时获得追加胜利
RevolutionistButtonName,Up to revolutionary possible,革命可能まで,起义吧
SidekickFriendsName,SidekickFriends,サイドキックフレンズ,狈族跟班
SidekickFriendsTitle1,Help Jackal.,ジャッカルを助けよう,帮助豺狼获得胜利
SidekickFriendsDescription,It is judged as Cluemate， but is in the Jackal camp.\nIf the jackal wins， it can win. Sidekick Friends can be found from Jackal.\nHelp Jackal so that the Jackal camp wins!,クルーメイトと判定されますが、ジャッカル陣営です。\nジャッカルが勝利すると、勝利できます。サイドキックフレンズはジャッカルからわかります。\nジャッカル陣営が勝利するようにジャッカルを助けましょう！。,规则上狈族跟班被判定为船员阵营，但是其为豺狼的同伙。\n豺狼团队获胜则狈族跟班一同获胜。\n豺狼能确认狈族跟班是谁。狈族跟班需要帮助豺狼以获得胜利。
SpelunkerName,Spelunker,スペランカー,倒霉鬼
SpelunkerTitle1,It's so easy to die.,簡単に死んでしまう,一如既往的坏运气
SpelunkerVentDeathChance,Probability of vent death,ベント死の確率,通风口口跌倒而死概率
SpelunkerIsDeathCommsOrPowerdown,Power outage/community skipping death,停電/コミュサボ死,配电/通讯破坏期间失足而死
SpelunkerDeathCommsOrPowerdownTime,Time to power outage/community sabotage death,停電/コミュサボ死までの時間,在配电/通讯破坏期间死亡所需时间
SpelunkerLiftDeathChance,Probability of falling off the lift,昇降機リフトから転落する確率,从移动平台掉下摔死概率
SpelunkerDoorOpenChance,Probability of death from pinched fingers in door opening,ドア開けの指挟み死の確率,开门时被门夹死概率
HitmanName,Hitman,殺し屋,雇佣杀手
HitmanTitle1,Kill the designated person.,指定された人をキルせよ,杀死你的目标
HitmanChangeTargetTime,Time for target to reset,ターゲットがリセットされる時間,目标切换所需时间
HitmanIsOutMission,If the mission cannot be accomplished， it will self-destruct.,任務が遂行できないと自爆する,在若干次击杀失败后自杀
HitmanOutMissionLimit,Number of possible failures,失敗可能数,最大允许失败次数
HitmanWinKillCount,Number of missions performed required to win,勝利に必要な任務遂行数,获胜需要成功击杀次数
HitmanIsTargetArrow,Display arrow to target,ターゲットへ矢印を表示する,可通过箭头确认目标位置
HitmanUpdateTargetArrowTime,Interval to update arrows,矢印を更新する間隔,箭头更新间隔时间
NunName,Nun,ぬーん,捣蛋鬼
NunTitle1,Nun,ぬーん,让大家用不了移动平台
NunButtonName,Nun,ぬーん,捣蛋
PsychometristName,Psychometrist,サイコメトラー,法医
PsychometristTitle1,Let's read the situation of the corpse.,死体の状況をよみとろう,通过尸体来搜寻线索
PsychometristReadTime,ReadTime,よみとり時間,验尸所需时间
PsychometristIsCheckDeathTime,Estimated time of death is available.,死亡推定時間がわかる,可以验出死亡时间
PsychometristDeathTimeDeviation,Maximum discrepancy in estimated time of death,死亡推定時刻の最大ズレ,验出死亡时间最大误差
PsychometristIsCheckDeathReason,I know the cause of death.,死因がわかる,可以验出死因
PsychometristIsCheckFootprints,I can see the killer's footprints.,犯人の足跡が見える,可以验出凶手足迹
PsychometristCanCheckFootprintsTime,Time range within which footprints can be traced,足跡が追跡可能な時間範囲,凶手足迹可被探测最大范围
PsychometristIsReportCheckedDeadBody,You can report it even after reading it.,よみとった後でも通報できる,被检验的尸体仍然可以被报告
PsychometristButtonName,reading,よみとり,验尸
SeeThroughPersonName,SeeThroughPerson,透視者,窥视者
SeeThroughPersonTitle1,Witness the decisive moment!,決定的瞬間を目撃しよう,见证决定性的时刻!
MatryoshkaName,Matryoshka,マトリョーシカ,蜘蛛人
MatryoshkaTitle1,Cloak the corpse and move the corpse.,死体をまとって死体を移動させよう,把尸体包裹起来
MatryoshkaWearLimit,Number of times you can wear it,纏える回数,最大缠绕次数
MatryoshkaAddKillCoolTime,Increased kill-cool time time for corpse coats,死体まといの増加キルクールタイムタイム,每次缠绕追加击杀冷却时间
MatryoshkaWearReport,can be called in while the body is still circled,まとい中でも通報可能,可以在缠绕状态下报告
MatryoshkaWearTime,Coiling time,まとえる時間,包裹持续时间
MatryoshkaPutOnButtonName,Put On,着る,缠绕
MatryoshkaTakeOffButtonName,Take Off,脱ぐ,解除
StefinderName,Stefinder,ステファインダー,寻觅者
StefinderTitle1,Let's do one crime.,一回だけ犯罪しよう,当个罪人吧！
StefinderKillCoolDownSetting,KillCooldown,キルクールダウン,击杀冷却冷却
StefinderVentSetting,CanUseVent,ベントを使用できる,可以使用通风口
StefinderSaboSetting,CanUseSabotage,サボタージュを使用できる,可以破坏
StefinderSoloWinSetting,SoloWin,単独勝利,可以单独获胜
PartTimerName,PartTimer,フリーター,打工狂
PartTimerTitle1,If you want a part-time job...!,バイトするなら…！ ,工作工作工作...！
PartTimerDeathTurn,Number of turns to die from unbited status,未バイトの状態から死亡するターン数,无业状态下穷死所需回合数
PartTimerIsCheckTargetRole,I can see your part-time position.,バイト先の役職が見える,可以确认老板的职业
PartTimerButtonName,PartTime,バイト,打工
PainterName,Painter ,ペインター,油漆工
PainterTitle1,Follow the traces of paint,絵具の痕跡をたどろう,通过油漆痕迹获得信息
PainterIsTaskComplateFootprint,Leave a trace when completing a task,タスク完了時痕跡を残す,目标完成任务后留下油漆痕迹
PainterIsSabotageRepairFootprint,Leave a trace when repairing a sabotage,サボタージュ修復時痕跡を残す,目标修复紧急破坏后留下油漆痕迹
PainterIsInVentFootprint,Leave a trace when entering a vent,ベントに入った時痕跡を残す,目标进入通风口后留下油漆痕迹
PainterIsExitVentFootprint,Leave a trace when exiting a vent,ベントから出た時痕跡を残す,目标离开通风口后留下油漆痕迹
PainterIsCheckVitalFootprint,Leave a trace when checking vitals,バイタルチェック時痕跡を残す,目标观看生命监测仪后留下油漆痕迹
PainterIsCheckAdminFootprint,Leave a trace when administering,アドミン時痕跡を残す,目标观看管理地图后留下油漆痕迹
PainterIsDeathFootprint,Leave a trace of the place of death,死亡場所の痕跡を残す,目标死亡后留下油漆痕迹
PainterIsDeathFootprintBig,Increase the size of the trace at the place of death,死亡場所の痕跡を大きくする,目标死亡后留下油漆痕迹变大
PainterIsFootprintMeetingDestroy,Trace disappears at meeting,痕跡が会議で消える,油漆痕迹在会议结束后消失
PainterButtonName,Paint,ペイント,刷漆
PainterIsTaskCompleteFootprint,Leave traces when tasks are completed,タスク完了時に痕跡を残す,完成任务后留下油漆痕迹
FinderName,Finder,ファインダー,中间人
FinderTitle1,Get to know your peers.,仲間を知ろう,了解你的同行。
FinderCheckMadmateSetting,Number of confirmed kills,確認できるキル数,确认叛徒击杀次数
PhotographerName,Photographer,写真屋,摄影师
PhotographerTitle1,Let's capture everyone on camera!,みんなの姿をカメラに収めよう ,不错的影像！
PhotographerIsBonus,Bonuscooltime is valid,ボーナスクールタイムが有効,可以缩减冷却时间
PhotographerBonusCount,Number of people to be photographed that will be Bonuscooltime.,ボーナスクールタイムになる撮影人数,缩减冷却时间所需拍摄人数
PhotographerBonusCoolTime,Bonus Cool Time,ボーナスクールタイム,摄像冷却时间
PhotographerIsImpostorVision,Impostor view,インポスターの視界,拥有伪装者视野
PhotographerIsNotification,Notification of Shooting,撮影の通知,告知被拍摄玩家
TacticianName,Tactician,戦術家,战术家
SluggerName,Slugger,スラッガー,击球手
SluggerTitle1,Lets’ Harisen Kill!,ハリセンでキルしよう,用全垒打把其他人击飞
SluggerChargeTime,Charge Time,チャージ時間,充能时间
SluggerIsMultiKill,Range kill possible,範囲キル可能,可以大范围击杀
SluggerIsKillCoolSync,null,null,与击杀冷却时间同步
SluggerButtonName,Harisen,ハリセン,击球
SatsumaAndImoName,SatsumaAndImo,さつまといも,神经病
SatsumaAndImoTitle1,Madmate And Crewmate,マッドメイト & クルーメイト,我究竟是谁？
ShiftActorName,Shift Actor,シフトアクター,模仿大师
